"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status",Comment,Date,"People Reached",Engagements,Shares,Likes,Comments,"Seconds Viewed","Average Seconds Viewed","Ad Impressions","Reels plays","60-Second Video Views",Impressions,"3-Second Video Views","Total clicks","Other Clicks","Photo Views","Link Clicks","Clicks to Play","Article Average Time Spent","Article Daily Scroll Depth","Unique negative feedback from users: Hide","Unique negative feedback from users: Hide all","Ad CPM (USD)","Estimated earnings (USD)"
805953917569052,151234121567343,Mercedes-AMG,"Status update",,0,"07/08/2023 05:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02QCnSDBfFZydsjPtJqtaMrKBApioyyHDxwcAGo4ZnLNoExaNisbq7JnCcboQdEC7ml,0,1,Photo,,,,,Lifetime,110343,1096,24,1070,2,0,0,,,0,111252,0,1774,719,1055,,,0,0,2,1,,
805377554293355,151234121567343,Mercedes-AMG,,"100 percent emotions, zero emissions. More than deserving of the spotlight, the Mercedes-AMG EQS is always prepped for high-intensity rides with innovation to the core.

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQS53 

[Mercedes-AMG EQS 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 24‒21,2 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",16,"07/07/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0jCw8Nxz3wrDN5xozh2Vp5D2WV4szSq2h1rii6qWwqUuReVjUdsr9zZ9jrUZQoPSol,0,0,Video,,,,,Lifetime,21658,235,10,218,7,37359.03,1.96,0,,0,22641,1944,191,149,,,42,0,0,3,,0,0
805368087627635,151234121567343,Mercedes-AMG,,"100 percent emotions, zero emissions. More than deserving of the spotlight, the Mercedes-AMG EQS is always prepped for high-intensity rides with innovation to the core.

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQS53 

[Mercedes-AMG EQS 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 24‒21,2 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",16,"07/07/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid02RjuA1oASxWYG1qnmhYK4saywKrmomQT1BVVNZ566Vxo1tZZ1Tuwgikh4uUF4QRqBl,0,0,Video,,,,,Lifetime,26028,355,14,329,12,64026.99,2.39,0,,0,28356,3605,1094,390,,3,701,0,0,3,3,0,0
614497084108653,151234121567343,Mercedes-AMG,,"100 percent emotions, zero emissions. More than deserving of the spotlight, the Mercedes-AMG EQS is always prepped for high-intensity rides with innovation to the core.

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQS53 

[Mercedes-AMG EQS 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 24‒21,2 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",16,"07/07/2023 06:07",N/A,https://www.facebook.com/reel/614497084108653/,0,0,"FB reel",,,,,Lifetime,23602,247,14,224,9,46666.29,2.13,0,21931,,,,,,,,,,,,,,
805283297636114,151234121567343,Mercedes-AMG,,"Join Felix and Ralf as they talk shop about the Black Series models and marvel at the ancestral gallery, then stay tuned as Catrin and Cornelius gear up to tackle Felix's challenges in two Black Series models.

Watch the full video on YouTube:

http://amg4.me/InsideAMG_BlackSeries 

#MercedesAMG #AMG #AMGClassics",0,"07/07/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid038KbWnTa7LniiWa1L9Qrq8M9xLz4c52WZn8q9RVGc76N8BtWdXuKbk8MVrnJowetrl,0,0,Photo,,,,,Lifetime,44600,272,16,253,3,0,0,,,0,45748,0,869,332,525,12,,0,0,1,1,,
804726837691760,151234121567343,Mercedes-AMG,,"Goosebump-inducingly powerful from its roomy avant-garde interior to its irrepressible driving force. The Mercedes-AMG EQS is a statement-maker from within. 

[Mercedes-AMG EQS 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 24‒21,2 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]

#MercedesAMG #AMG #AMGFocus #AMGTrust #EQS",0,"07/06/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0QBhBHcemZFsXwm8txLWthe9CoF3CJQhppGjiQRTVp6K5fwM9ZBQFAb2jEGWbTKmnl,0,0,Photo,,,,,Lifetime,90368,1093,18,1058,17,0,0,,,0,92131,0,926,410,509,7,,0,0,2,,,
591692223179324,151234121567343,Mercedes-AMG,,"Born on the racetrack, built for the road: The AMG Black Series models redefine what it means to push the limits. #InsideAMG 

Watch the new episode here: amg4.me/InsideAMG_BlackSeries

#MercedesAMG #AMG #AMGClassics",40,"07/04/2023 06:07",N/A,https://www.facebook.com/reel/591692223179324/,0,0,"FB reel",,,,,Lifetime,18500,463,36,413,14,74229.07,3.47,0,21418,,,,,,,,,,,,,,
803461561151621,151234121567343,Mercedes-AMG,,"With irresistible dynamism and paint colours that light up every mood.

#MercedesAMG #AMG #AMGLife #AMGTrust #EQE53

[Mercedes-AMG EQE 53 4MATIC+ | WLTP: Stromverbrauch kombiniert: 22,9‒20,3 kWh/100 km | CO₂-Emissionen kombiniert: 0 g/km | amg4.me/DAT-Leitfaden-electric]",0,"07/04/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0pVhrgG2yjggoNom4Sztp2BfYite5FXAUTxGvKebn6LuacJiuHHMZi56SPpg3TXQLl,0,0,Photo,,,,,Lifetime,63236,671,22,630,19,0,0,,,0,65894,0,501,255,242,4,,0,0,1,2,,
802851987879245,151234121567343,Mercedes-AMG,,"Embracing the allure of shadows while waiting for its next mission.

📸 stephan.merkle on Instagram

#MercdedesAMG #AMG #MyAMG",0,"07/03/2023 03:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0q3vSc3gVcDLd1RPSqWpM8sZHwhH8XWb34nETGW4qLcxBY6Jxp5bfmB48CrK6fpV8l,0,0,Photo,,,,,Lifetime,219698,6665,222,6310,133,0,0,,,0,229882,0,2517,1491,1026,,,0,0,1,11,,
802320917932352,151234121567343,Mercedes-AMG,,"All eyes on the horizon with the Mercedes-AMG GT Black Series.

#MercedesAMG #AMG #AMGLife #AMGThrill #GT",0,"07/02/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0w4CANMXnBDc8Be375HdFvdsJ6QCT44QCevrEzVgrTKcH1a45hxDsC8tEowmAJXWtl,0,0,Photo,,,,,Lifetime,156274,7179,181,6934,64,0,0,,,0,156614,0,1602,1035,567,,,0,0,3,4,,
801722544658856,151234121567343,Mercedes-AMG,,"Who’s a fan of this vibrant exterior? I know we certainly are!

📸 madeline.sd on Instagram 

#MercedesAMG #AMG #AMGSpirit",0,"07/01/2023 06:07",N/A,https://www.facebook.com/MercedesAMG/posts/pfbid0p16JPAJ2WHDxccy2EFg2CH9KQQRxM1fiZoARVsc8spz8yo2o2ciHsAhsYe3fRSVPl,0,0,Photo,,,,,Lifetime,59674,654,24,622,8,0,0,,,0,59674,0,394,208,186,,,0,0,2,,,
